Sensor ID,Timestamp,temp_C,Pressure (kPa),vibration_mm_s,STATUS
SEN-014,2025-01-01T11:58:44,69.53,99.23,0.5581,ok
SEN-008,2025-01-05 11:00:06,69.8,96.25,0.5606,ok
SEN-020,2025-01-04 13:01:24,68.62,104.76,0.5031,ok
SEN-021,2025-01-05T21:28:30,54.16,102.11,0.5436,ok
SEN-009,2025-01-14T09:59:16,68.32,96.86,0.4639,ok
SEN-018,2025-01-03 05:28:34,67.77,94.21,0.579,ok
SEN-004,2025-01-14 08:00:10,67.07,96.83,0.5506,ok
SEN-012,2025-01-02T19:00:00,73.16,102.15,0.5027,ok
SEN-019,2025-01-04 06:01:12,74.21,104.03,0.484,ok
SEN-018,2025-01-13 19:13:37,68.19,94.62,0.514,ok
SEN-019,2025-01-10 00:15:27,71.48,104.96,0.3305,ok
SEN-024,2025-01-04T01:30:36,70.12,97.19,0.4222,ok
SEN-014,2025-01-08 22:30:46,63.78,97.59,0.5941,ok
SEN-015,2025-01-14T17:43:40,57.91,101.27,0.6194,ok
SEN-021,2025-01-14 08:44:12,58.05,101.47,0.527,ok
SEN-009,2025-01-13 22:16:11,63.49,97.07,0.4514,ok
SEN-004,01/11/2025 16:00:34,68.77,96.5,0.5456,ok
SEN-002,2025-01-13 00:01:26,62.24,98.36,0.4607,ok
SEN-020,2025-01-13 13:01:04,67.2,104.72,0.4089,ok
SEN-024,01/14/2025 02:31:01,70.34,96.4,0.4032,ok
SEN-001,01/03/2025 12:00:02,65.39,102.11,0.5563,ok
SEN-009,2025-01-13 06:59:18,65.53,96.52,0.5093,ok
SEN-015,2025-01-06 06:15:49,56.92,102.06,0.4799,ok
SEN-012,11-01-2025 21:00:13,69.1,102.23,0.4617,ok
SEN-019,01/08/2025 07:45:47,75.94,103.89,0.4584,ok
SEN-008,2025-01-05 15:46:18,70.46,97.96,0.4068,ok
SEN-013,2025-01-04 22:14:12,69.14,101.93,0.6202,ok
SEN-017,2025-01-13 11:15:30,67.84,101.35,0.4224,ok
SEN-013,2025-01-09 05:45:39,71.87,103.58,0.6483,ok
SEN-022,2025-01-08 15:15:44,70.63,97.41,0.4796,ok
SEN-011,2025-01-02T10:14:39,72.0,100.24,0.6134,ok
SEN-016,2025-01-08 03:29:38,70.3,103.34,0.6156,ok
SEN-006,2025-01-02 12:30:56,71.67,104.75,0.5239,ok
SEN-004,2025-01-13 08:59:29,67.22,97.99,0.5131,ok
SEN-011,01/05/2025 18:29:13,66.67,99.04,0.5623,ok
SEN-016,2025-01-09 13:46:06,71.19,101.75,0.5366,ok
SEN-004,01/07/2025 16:59:43,69.33,96.6,0.5924,ok
SEN-025,2025-01-10 11:44:43,57.22,102.69,0.3758,ok
SEN-011,2025-01-09T07:16:22,70.55,99.19,0.5817,ok
SEN-015,2025-01-14T22:45:28,54.56,102.52,0.5935,ok
SEN-009,2025-01-09 20:29:14,66.54,95.72,0.4781,ok
SEN-019,2025-01-02 02:45:31,73.41,104.03,0.476,ok
SEN-008,2025-01-10 20:46:00,66.03,97.29,0.3995,ok
SEN-003,2025-01-14 01:44:49,65.44,97.73,0.6283,ok
SEN-016,2025-01-08 17:46:05,69.0,103.38,0.5798,ok
SEN-020,2025-01-05 11:44:31,66.19,104.02,0.4885,ok
SEN-015,2025-01-03 05:30:52,56.23,101.57,0.4779,ok
SEN-004,2025-01-10 00:14:44+00:00,66.59,96.81,0.5115,ok
SEN-023,2025-01-05 11:59:27+00:00,57.45,94.96,0.4504,ok
SEN-009,2025-01-10 04:29:02,64.23,96.5,0.4898,ok
SEN-001,2025-01-11 10:15:38,67.0,101.78,0.5778,ok
SEN-002,2025-01-01 19:58:55,60.61,97.12,0.4596,ok
SEN-016,09-01-2025 03:29:14,69.61,101.07,0.6042,ok
SEN-011,2025-01-01 10:00:54,70.38,99.0,0.5296,ok
SEN-001,2025-01-10 17:59:19,65.25,102.6,0.5982,ok
SEN-003,10-01-2025 05:15:14,66.79,98.57,0.6005,ok
SEN-002,2025-01-02 20:59:56,63.23,96.93,0.509,ok
SEN-006,2025-01-07T17:58:39,68.61,104.31,0.5373,ok
SEN-018,2025-01-06 19:44:03,67.22,95.37,0.5396,ok
SEN-023,2025-01-11 07:43:37,57.66,95.47,0.4476,ok
SEN-018,2025-01-06 14:44:50,67.18,95.2,0.5162,ok
SEN-023,2025-01-09 15:29:18,56.63,94.68,0.4133,ok
SEN-003,2025-01-14T05:59:31,66.57,97.9,0.4822,ok
SEN-003,2025-01-06 21:29:02,67.89,98.25,0.5867,ok
SEN-018,2025-01-12T14:29:52,67.09,94.79,0.6296,ok
SEN-024,2025-01-09T00:15:26,72.25,96.68,0.3955,ok
SEN-021,2025-01-07 07:29:21,54.68,102.42,0.5809,ok
SEN-005,2025-01-11 08:59:57,72.22,103.99,0.4594,ok
SEN-011,2025-01-09T05:30:14,69.8,97.93,0.4748,ok
SEN-010,2025-01-04 12:29:53,57.47,95.22,0.3962,ok
SEN-004,2025-01-08 00:15:12,64.07,97.47,0.5173,ok
SEN-007,2025-01-11 20:16:09,64.39,103.89,0.5116,ok
SEN-002,2025-01-08 14:44:36,63.2,97.91,0.5424,ok
SEN-006,2025-01-14 06:31:05,72.57,104.11,0.5094,ok
SEN-023,2025-01-01 07:29:29+00:00,57.5,95.82,0.3978, ok
SEN-024,2025-01-06 19:45:45,73.34,95.76,0.3995,ok
SEN-025,12-01-2025 23:14:59,55.42,102.69,0.4449,ok
SEN-012,07-01-2025 18:45:39,70.67,100.79,0.5034,ok
SEN-013,01/10/2025 02:30:23,69.45,102.73,0.677,ok
SEN-019,2025-01-11 06:30:14,75.0,104.03,0.3491,ok
SEN-025,2025-01-11 17:28:33,54.46,103.14,0.4293,ok
SEN-024,2025-01-05 05:31:17,73.7,96.34,0.5063,ok
SEN-007,01/02/2025 09:14:15,68.07,103.71,0.4941,ok
SEN-007,2025-01-07 10:01:26,68.76,104.47,0.5485,ok
SEN-015,01/02/2025 07:44:44,58.95,102.95,0.6003,ok 
SEN-006,2025-01-04 07:44:14,72.67,102.8,0.4873,ok
SEN-003,2025-01-05 17:31:08,66.72,97.61,0.5914,ok
SEN-008,2025-01-12 11:15:35,70.81,97.06,0.462,ok
SEN-005,2025-01-04 11:15:03,72.37,102.87,0.5186,ok
SEN-003,2025-01-01 23:59:45,65.04,98.89,0.5113,ok
SEN-009,01-01-2025 02:29:26,63.53,95.87,0.4488,ok
SEN-001,2025-01-09T13:30:15,64.7,101.93,0.6135,ok
SEN-004,2025-01-11 04:58:44+00:00,65.04,98.1,0.4843,ok
SEN-004,07-01-2025 00:29:04,65.21,96.54,0.5621,ok
SEN-021,2025-01-10 22:44:50,53.46,101.41,0.5377,ok
SEN-013,2025-01-14 10:29:11,75.57,102.77,0.4395,ok
SEN-005,11-01-2025 04:00:08,71.54,103.29,0.5541,ok 
SEN-020,2025-01-14 08:29:54,67.59,105.23,0.4344,ok
SEN-014,2025-01-06 15:01:15,67.52,98.46,0.6045,ok
SEN-023,04-01-2025 05:29:13,54.74,95.62,0.4667,ok 
SEN-007,2025-01-14 17:59:47,65.99,103.39,0.5761,ok
SEN-005,2025-01-10 22:00:15,68.23,103.18,0.4916,ok
SEN-002,2025-01-04 13:30:55+00:00,65.57,96.16,0.5863,ok
SEN-004,2025-01-01T20:15:27,64.59,96.89,0.6,ok
SEN-005,2025-01-09 17:45:02,71.43,102.89,0.4546,ok
SEN-016,2025-01-10T10:59:23,72.99,102.62,0.5004,ok
SEN-023,2025-01-02 01:45:20,55.02,96.18,0.4297,ok
SEN-019,05-01-2025 10:16:16,74.15,103.81,0.3574,ok
SEN-024,07-01-2025 04:45:59,70.79,97.89,0.4227,ok
SEN-016,2025-01-06 02:58:30,68.23,103.52,0.4994,ok
SEN-012,2025-01-01 15:00:14,72.28,102.51,0.5237,ok
SEN-015,2025-01-12T08:30:05,59.29,102.64,0.5857,ok
SEN-013,2025-01-01 11:15:27,74.52,103.84,0.5046,ok
SEN-019,2025-01-08T04:13:43,73.5,104.13,0.4118,ok
SEN-001,2025-01-05 13:30:12+00:00,64.87,102.86,0.5053,ok
SEN-015,2025-01-03 12:28:41,58.72,101.29,0.5101,ok
SEN-001,2025-01-08 04:59:14,64.02,101.7,0.5572,ok
SEN-008,2025-01-02 09:29:20+00:00,69.65,97.21,0.4755,ok
SEN-023,01/02/2025 23:01:20,54.89,94.61,0.4947,ok
SEN-009,2025-01-13T05:59:40,64.84,96.79,0.4707,ok
SEN-004,2025-01-14 07:30:06,66.33,97.16,0.5478,ok
SEN-019,2025-01-11 20:00:23,71.02,104.51,0.3956,ok
SEN-008,2025-01-09 02:31:24,68.02,96.36,0.5379,ok
SEN-004,2025-01-13 09:46:05,66.81,96.86,0.4902,ok
SEN-002,2025-01-14 06:45:47,63.72,96.26,0.4499,ok
SEN-017,2025-01-14T01:15:19,65.41,100.5,0.4779,ok
SEN-024,2025-01-12 08:15:17,73.52,96.81,0.4376,ok
SEN-003,2025-01-04 06:31:04,66.18,98.9,0.5391,ok
SEN-015,01/12/2025 14:00:30,58.06,101.88,0.5666,ok
SEN-004,03-01-2025 22:15:17,66.13,97.29,0.4698,ok
SEN-020,2025-01-03T15:30:38,68.34,105.63,0.4228,ok
SEN-019,2025-01-10 01:15:38,71.0,103.58,0.3289,ok
SEN-003,2025-01-04 16:58:55,69.51,99.25,0.6341,ok
SEN-020,2025-01-06 17:45:51,67.39,106.53,0.4988,ok
SEN-008,2025-01-05 02:00:49,68.34,96.59,0.2814,ok
SEN-009,2025-01-12 20:45:57,65.67,95.78,0.4574,ok
SEN-020,2025-01-11 09:45:44,69.5,103.92,0.3806,ok
SEN-014,01/09/2025 17:43:53,66.43,98.4,0.6294,ok
SEN-004,2025-01-04 07:15:08,66.04,97.55,0.5449,ok
SEN-021,2025-01-09 20:45:26,54.3,101.03,0.6261,ok
SEN-019,2025-01-02T10:30:26,73.52,105.11,0.4991,ok
SEN-022,2025-01-04 12:01:25,73.82,96.44,0.4233,ok
SEN-008,01/04/2025 21:30:21,68.13,95.27,0.455,ok
SEN-025,2025-01-01 14:30:52,58.39,102.86,0.4203,ok
SEN-015,2025-01-07 16:31:11,58.48,102.22,0.5028,ok
SEN-015,2025-01-01T11:01:22,60.39,101.89,0.5337,ok
SEN-005,03-01-2025 05:01:02,67.99,105.44,0.5549,ok
SEN-020,2025-01-12 12:45:35,65.97,105.69,0.4192,ok
SEN-025,2025-01-12 04:15:46,57.62,103.22,0.4653,ok
SEN-003,04-01-2025 19:44:34,66.14,96.92,0.6376,ok
SEN-023,2025-01-09 13:14:05,55.73,95.58,0.4564,ok
SEN-021,2025-01-01T16:45:14,55.77,101.5,0.6064,ok
SEN-008,2025-01-03 23:00:58,66.52,97.14,0.5415,ok
SEN-013,2025-01-14 01:14:32,68.64,101.48,0.5134,ok
SEN-009,2025-01-11 10:43:41,69.7,96.84,0.4513,ok
SEN-025,2025-01-03 01:28:37,55.25,103.59,0.4163,ok
SEN-016,2025-01-09 16:43:56,71.45,102.41,0.482,error
SEN-014,2025-01-09T20:00:38,66.27,100.09,0.6308,ok
SEN-005,2025-01-13 07:59:54+00:00,70.27,102.99,0.6179,ok 
SEN-019,01/03/2025 02:45:56,72.02,104.27,0.34,ok
SEN-019,2025-01-14 06:15:12,74.48,103.75,0.4206,ok
SEN-002,2025-01-04T23:28:57,60.08,96.14,0.5351,ok
SEN-016,01/12/2025 21:30:01,,102.95,0.5556,ok
SEN-005,2025-01-06 03:15:59,68.85,103.16,0.4492,ok
SEN-008,2025-01-11 02:29:45,69.03,96.38,0.5043,ok
SEN-002,2025-01-13 17:00:08,65.09,97.74,0.5086,ok
SEN-001,2025-01-11 13:29:51,65.86,101.59,0.511,ok
SEN-025,01/11/2025 13:45:12,57.94,103.91,0.5015,ok 
SEN-005,2025-01-01T06:28:59,71.89,103.8,0.6197,ok
SEN-007,2025-01-03 08:46:00,67.1,104.24,0.5398,ok
SEN-005,2025-01-12 11:29:09,71.34,103.5,0.6565,ok
SEN-019,11-01-2025 22:01:00,71.66,104.7,0.4251,ok
SEN-012,2025-01-05 17:28:55,71.8,102.19,0.4441,ok
SEN-011,2025-01-04T09:45:40,70.9,98.57,0.6255,ok
SEN-008,2025-01-02 05:00:41,68.63,97.45,0.5184,ok
SEN-011,2025-01-06 11:46:04,69.27,98.38,0.6481,ok
SEN-014,2025-01-10 18:00:44,69.43,100.65,0.5483,ok
SEN-010,2025-01-07 01:28:46,50.73,94.68,0.416,warning
SEN-018,01/09/2025 07:44:35,68.49,94.5,0.5965,ok
SEN-013,09-01-2025 22:14:24,71.02,103.22,0.6008,ok
SEN-006,06-01-2025 02:14:14,68.61,104.01,0.461,ok
SEN-009,2025-01-14 22:01:16,62.81,96.22,0.4822,ok
SEN-009,01/10/2025 16:45:11,67.38,97.12,0.4786,ok
SEN-012,2025-01-14 06:01:01,70.79,101.7,0.4974,ok
SEN-007,2025-01-11T02:29:30,64.45,103.77,0.5451,ok
SEN-013,11-01-2025 00:31:27,68.32,103.43,0.5072,ok
SEN-018,2025-01-14 14:45:55,69.88,96.36,0.6528,ok
SEN-003,2025-01-04 18:59:28,66.88,98.31,0.561,ok
SEN-013,14-01-2025 04:58:53,71.49,101.15,0.5098,ok
SEN-024,2025-01-02 19:44:21,72.97,95.14,0.486,ok
SEN-011,2025-01-04T12:28:45,72.1,99.26,0.5749,ok
SEN-012,10-01-2025 05:45:11,70.17,103.82,0.3811,ok
SEN-006,2025-01-04 16:59:14,69.8,104.42,0.5872,ok
SEN-004,2025-01-02 15:46:19,67.4,96.4,0.4808,ok
SEN-008,2025-01-05T13:16:16,71.19,98.25,0.4052,ok
SEN-014,2025-01-06 00:31:01,65.06,97.51,0.5676,ok
SEN-007,2025-01-01 03:28:39+00:00,64.17,103.43,0.5642,ok
SEN-020,2025-01-07 23:14:56,62.09,104.39,0.5056,ok
SEN-006,2025-01-06 08:45:08,70.91,104.76,0.413,ok
SEN-014,2025-01-08T21:59:26,64.13,98.42,0.5859,ok
SEN-001,2025-01-11T03:15:28,61.7,102.51,0.4626,ok
SEN-009,2025-01-02 23:59:29,65.37,95.95,0.5802,ok
SEN-018,2025-01-07 03:15:26,64.8,95.97,0.5671,ok
SEN-010,09-01-2025 12:58:50,54.49,95.18,0.4443,ok
SEN-008,2025-01-11 18:31:25,69.02,96.85,0.4411,ok
SEN-021,2025-01-06 07:31:21,54.77,101.29,0.6357,ok
SEN-021,01/02/2025 07:29:02,57.18,100.13,0.5203,ok
SEN-005,01/14/2025 05:15:06,71.82,103.25,0.5815,ok
SEN-018,2025-01-08 06:29:30,67.85,96.32,0.5808,ok
SEN-005,2025-01-04 12:43:31,71.93,102.52,0.5549,ok
SEN-012,2025-01-07 00:01:29,67.96,102.92,0.6087,ok
SEN-011,2025-01-05 10:13:53,71.97,99.39,0.5768,ok
SEN-020,2025-01-07 08:29:25,66.59,105.61,0.4487,ok
SEN-018,2025-01-04 10:58:35,,94.8,0.5971,ok
SEN-001,2025-01-11 17:59:47,62.62,101.78,0.4834,ok
SEN-025,2025-01-13 08:00:53,55.27,104.57,0.4372,ok
SEN-006,2025-01-12 10:31:15,70.72,104.29,0.4137,ok
SEN-001,2025-01-11T02:00:31,60.4,102.17,0.5036,ok
SEN-021,01-01-2025 05:45:19,54.08,102.4,0.4985,ok
SEN-002,2025-01-12 23:29:59,62.8,97.1,0.4629,ok
SEN-016,01/07/2025 22:44:40,66.47,101.81,0.5827,ok
SEN-006,2025-01-08T08:45:44,71.31,103.59,0.5359,ok
SEN-021,2025-01-02 00:15:50,51.92,101.13,0.5538,ok
SEN-001,2025-01-02 01:45:28,62.99,101.79,0.4931,ok
SEN-024,2025-01-11T05:46:20,73.37,97.64,0.3723,ok
SEN-017,2025-01-06 10:30:18,68.64,100.58,0.5855,ok
SEN-022,2025-01-01 21:59:08,69.77,95.91,0.3722,ok
SEN-003,12-01-2025 03:45:52,67.02,97.46,0.5834,ok
SEN-009,2025-01-09 09:44:49,66.48,95.99,0.4727,ok
SEN-001,2025-01-01T09:46:16,67.12,104.19,0.5878,ok
SEN-022,2025-01-04 11:00:24,73.5,94.35,0.394,ok
SEN-019,2025-01-02T07:30:28,74.64,104.58,0.41,ok
SEN-008,01/05/2025 16:01:08,70.62,98.45,0.4943,ok
SEN-023,05-01-2025 12:59:03,56.92,97.26,0.3492,ok
SEN-012,2025-01-08 00:43:59,69.35,104.06,0.5424,ok
SEN-020,2025-01-01 22:30:46,63.83,104.52,0.5402,ok
SEN-023,08-01-2025 04:13:42,55.36,95.82,0.375,ok
SEN-008,01/10/2025 00:01:20,65.91,98.28,0.4125,ok
SEN-024,2025-01-12 21:43:48,71.71,97.88,0.3553,ok
SEN-021,01/11/2025 08:29:12,58.26,102.83,0.5509,ok
SEN-008,01/03/2025 00:16:26,66.73,97.47,0.4751,ok
SEN-023,2025-01-10 06:16:09,54.89,94.93,0.4014,ok
SEN-017,2025-01-11T18:00:46,66.56,101.08,0.3985,ok
SEN-010,2025-01-06 19:43:45,54.77,96.11,0.4601,ok
SEN-005,2025-01-07 18:59:01,68.26,103.08,0.5953,ok
SEN-017,2025-01-02T02:45:19,66.26,100.37,0.5545,ok
SEN-017,2025-01-01 10:29:15,70.49,102.31,0.4691,ok
SEN-014,2025-01-08T04:00:14,65.42,99.42,0.6243,ok
SEN-019,2025-01-02 17:59:58,73.87,105.43,0.3861,ok
SEN-005,2025-01-01 07:58:40,72.41,101.92,0.4973,ok
SEN-006,2025-01-02 21:00:35,70.27,103.96,0.5934,ok
SEN-025,01/06/2025 16:15:21,56.65,104.43,0.4152,ok
SEN-019,2025-01-07 17:14:24+00:00,72.89,104.79,0.4352,ok
SEN-020,2025-01-11 17:58:55,64.25,105.11,0.4404,ok
SEN-008,2025-01-02T04:44:29,68.8,96.51,0.4357,ok
SEN-012,2025-01-14T02:01:18,67.92,102.38,0.4863,ok
SEN-008,2025-01-06 07:13:43,68.93,97.14,0.4156,warning
SEN-001,2025-01-12 04:44:47,65.0,102.72,0.5155,ok
SEN-025,2025-01-14 04:00:25,53.49,102.61,0.4466,ok
SEN-006,2025-01-01 18:29:17,70.16,103.24,0.5552,ok
SEN-001,2025-01-12 14:29:11,64.62,101.79,0.5973,ok
SEN-018,2025-01-06T22:00:44,66.66,95.23,0.6666,ok
SEN-021,2025-01-05 23:00:16,55.21,101.55,0.5455,ok
SEN-007,2025-01-12T03:15:09,67.11,103.41,0.5926,ok
SEN-016,2025-01-14 02:14:23,67.0,102.32,0.6138,ok
SEN-018,2025-01-06 16:30:47,67.94,94.68,0.6281,ok
SEN-018,2025-01-09 21:30:18,66.81,94.82,0.6135,ok
SEN-016,2025-01-12 18:16:07,70.66,101.68,0.5863,ok
SEN-010,2025-01-12 14:15:47,53.48,95.18,0.4965,ok
SEN-017,2025-01-02T00:30:57,63.92,101.31,0.4653,ok
SEN-004,2025-01-02 00:59:02,64.1,96.73,0.6008,ok
SEN-023,2025-01-05 04:13:57,56.26,null,0.317,ok
SEN-021,2025-01-11 08:13:51,56.82,100.8,0.5941,ok
SEN-020,2025-01-01 22:13:34,63.09,105.29,0.4652,ok
SEN-004,2025-01-13T12:59:37,67.77,97.0,0.5694,ok
SEN-025,2025-01-08 07:58:37,58.91,102.86,0.3454,ok
SEN-005,01/14/2025 14:58:34,70.84,102.51,0.5049,ok
SEN-007,2025-01-02 23:59:15,66.27,104.22,0.5537,ok
SEN-014,2025-01-13 15:29:57,69.1,98.6,0.5845,ok
SEN-010,01/09/2025 12:13:47,54.7,95.84,0.3511,ok
SEN-024,2025-01-03 11:58:53,76.13,97.13,0.4166,ok
SEN-013,2025-01-13T09:46:06,74.08,101.96,0.5408,ok
SEN-001,2025-01-06 10:15:16,64.54,103.2,0.423,ok
SEN-008,2025-01-09 09:16:22,69.93,97.41,0.5012,ok
SEN-016,08-01-2025 10:43:30,71.91,102.82,0.5563,ok
SEN-001,06-01-2025 05:28:38,62.99,102.17,0.5774,ok
SEN-013,2025-01-02 00:59:13,71.19,102.84,0.5745,ok
SEN-025,2025-01-07 16:44:06,57.51,102.83,0.4456,ok
SEN-019,2025-01-02 21:30:55,73.45,102.99,0.3858,ok
SEN-001,2025-01-10 14:46:29,66.91,102.87,0.5226,ok
SEN-007,2025-01-11T09:30:32,69.78,102.62,0.5291,ok
SEN-016,2025-01-04T14:13:42,71.4,103.79,0.5868,ok
SEN-004,2025-01-13T09:59:50,66.78,97.57,0.6044,ok
SEN-013,2025-01-07 10:15:57,74.5,101.43,0.6077,Ok
SEN-010,2025-01-01 02:00:26,50.78,95.21,0.4663,ok
SEN-004,2025-01-04 20:15:51,65.34,97.29,0.6715,ok
SEN-005,2025-01-13 23:44:31,67.59,104.21,0.5097,ok
SEN-021,2025-01-01 11:29:40,56.85,101.02,0.5192,ok
SEN-010,01/03/2025 22:31:11,51.93,96.43,0.5324,ok
SEN-018,01/06/2025 21:43:43,67.0,95.62,0.6354,ok
SEN-025,10-01-2025 22:58:54,52.72,103.83,0.3971,ok
SEN-001,2025-01-12 08:44:34,65.68,101.74,0.4965,ok
SEN-018,2025-01-08 05:15:53,66.79,95.64,0.5521,ok
SEN-001,2025-01-08 06:01:30,65.33,102.51,0.5151,ok
SEN-017,2025-01-10T01:15:17,66.55,100.73,0.5877,ok
SEN-007,2025-01-10 12:16:27+00:00,69.93,103.72,0.6022,ok
SEN-021,01/13/2025 03:44:33,53.59,102.3,0.543,ok
SEN-008,05-01-2025 01:29:04,68.52,97.41,0.3615,ok
SEN-010,2025-01-08T10:45:04,56.55,97.14,0.5159,ok
SEN-012,2025-01-02T02:15:07,72.35,101.83,0.4785,ok
SEN-001,2025-01-14 10:44:07,66.72,102.57,0.5015,ok
SEN-017,2025-01-09 13:30:32+00:00,67.97,100.94,0.4767,ok
SEN-008,2025-01-08 05:00:29,70.42,97.3,0.4934,ok
SEN-004,2025-01-09 13:30:21,67.52,97.93,0.5921,OK
SEN-016,2025-01-11 15:45:15,70.51,103.25,0.5007,ok
SEN-016,2025-01-02 04:13:42,70.18,102.98,0.5667,ok
SEN-020,2025-01-03 14:15:10,68.47,103.53,0.4334,ok
SEN-009,2025-01-07T17:28:47,66.66,96.9,0.5192,ok
SEN-003,2025-01-06T23:01:18,67.82,97.06,0.4739,ok
SEN-004,2025-01-04 19:58:39,65.54,96.33,0.5202,ok
SEN-017,2025-01-08 02:00:10,64.18,102.59,0.5727,ok
SEN-002,2025-01-12 17:45:12,62.92,97.16,0.5255,ok
SEN-009,2025-01-10 12:14:04,68.45,97.28,0.4465,ok
SEN-025,2025-01-09T00:00:08,54.38,103.73,0.4489,ok
SEN-010,13-01-2025 04:30:46,52.61,95.01,0.4002,ok
SEN-019,2025-01-04 14:16:27,74.67,104.95,0.5068,ok
SEN-020,2025-01-12 04:29:16,65.3,103.92,0.4245,ok
SEN-004,2025-01-13T12:16:24,67.48,97.28,0.4724,ok
SEN-019,12-01-2025 06:59:16,74.81,103.36,0.4495,ok
SEN-018,2025-01-13 10:58:34+00:00,66.99,95.98,0.6143,ok
SEN-011,01/12/2025 17:45:35,67.72,100.15,0.5565,ok
SEN-019,11-01-2025 12:16:15,76.07,104.5,0.4339,ok
SEN-002,2025-01-12 19:28:48,63.42,97.44,0.5218,ok
SEN-013,10-01-2025 03:44:22,70.31,102.97,0.5036,ok
SEN-022,2025-01-01 19:31:21,68.62,95.95,0.4719,ok
SEN-002,2025-01-02 22:29:23,62.29,96.89,0.4903,ok
SEN-019,2025-01-01 04:45:17,73.07,105.46,0.4438,ok
SEN-007,01/11/2025 22:00:45,64.74,104.06,0.6096,ok
SEN-004,2025-01-14 16:45:06,69.0,98.38,0.5698,ok
SEN-010,2025-01-06 00:00:48,53.52,94.72,0.3611,ok
SEN-023,14-01-2025 04:29:55,54.0,94.52,0.3862,ok
SEN-021,2025-01-07 14:15:23,58.89,99.84,0.5499,ok
SEN-008,2025-01-14 14:00:33,69.3,98.63,0.4819,ok
SEN-007,2025-01-02 00:30:39,66.1,103.74,0.5377,ok
SEN-022,2025-01-01 11:59:23,73.98,96.45,0.5121,ok
SEN-004,06-01-2025 13:28:47,66.98,96.04,0.6301,ok
SEN-023,2025-01-01 16:16:23,55.33,95.57,0.3401,ok
SEN-006,2025-01-06T03:28:35,67.99,103.4,0.5652,ok
SEN-017,2025-01-11 15:30:25,69.4,101.19,0.5067,ok
SEN-025,2025-01-08 10:29:36,59.09,101.64,0.4252,Ok
SEN-017,01/12/2025 06:01:17,68.66,101.16,0.5086,ok
SEN-001,2025-01-11T19:59:19,61.56,101.86,0.6046,ok
SEN-003,2025-01-06T19:46:24,67.61,96.8,0.6298,ok
SEN-006,2025-01-03 15:14:07,72.82,103.17,0.5248,ok
SEN-022,2025-01-10T19:58:36,69.37,97.0,0.3126,ok
SEN-008,2025-01-09T01:01:04,67.74,95.13,0.4549,ok 
SEN-015,2025-01-13 13:15:14,59.79,103.18,0.5961,ok
SEN-020,01/14/2025 09:45:12,69.0,105.07,0.4411,ok
SEN-020,2025-01-12T03:46:16,65.69,104.59,0.394,ok
SEN-018,2025-01-05T17:01:06,66.19,94.57,0.5699,ok
SEN-004,2025-01-07 02:15:10,65.29,97.25,0.5123,ok
SEN-014,2025-01-07 17:59:12,67.73,99.24,0.6627,ok
SEN-021,2025-01-05 19:44:01,55.75,100.64,0.5182,ok
SEN-017,2025-01-08 01:43:38,63.82,101.46,0.4888,ok
SEN-012,2025-01-03T23:15:51,69.09,102.52,0.391,ok
SEN-024,2025-01-03 12:44:38,75.32,96.82,0.399,ok
SEN-018,01/12/2025 00:14:18,63.86,95.25,0.6983,ok
SEN-001,2025-01-08 11:00:05,66.19,102.97,0.4733,ok
SEN-001,2025-01-03 10:15:03,65.05,101.44,0.5786,ok
SEN-001,2025-01-04 03:44:12,61.27,103.22,0.5606,ok
SEN-023,2025-01-13T13:30:51,58.13,95.64,0.4739,ok
SEN-023,2025-01-07T14:58:56,58.22,95.96,0.4455,OK
SEN-005,2025-01-13 16:59:19,70.67,102.29,0.5152,ok
SEN-019,2025-01-04 21:59:08,71.41,103.48,0.4302,ok
SEN-003,2025-01-04 18:00:53,69.0,98.96,0.6052,ok
SEN-023,2025-01-04T11:13:43,59.19,96.35,0.4316,ok
SEN-010,2025-01-03 03:30:45,53.23,95.62,0.4787,ok
SEN-014,2025-01-06 12:31:17+00:00,66.69,98.92,0.6453,ok
SEN-021,2025-01-07 14:29:51,58.95,102.12,0.4582,ok
SEN-008,2025-01-07T09:15:17,72.44,96.86,0.452,ok
SEN-004,2025-01-10T21:14:30,66.82,97.06,0.5569,ok
SEN-009,2025-01-05 20:15:54,65.03,95.22,0.4762,ok
SEN-013,2025-01-12T17:01:29,72.52,102.69,0.4919,ok
SEN-010,2025-01-07T05:15:53,51.89,95.17,0.461,ok
SEN-017,01/05/2025 09:31:18,69.62,101.71,0.5316,ok
SEN-005,2025-01-13 04:44:34,68.46,103.13,0.5877,ok
SEN-003,2025-01-08 22:59:29,64.95,98.45,0.6101,ok
SEN-017,2025-01-12T18:00:31,66.57,101.78,0.5009,ok
SEN-011,2025-01-02 09:31:07,71.63,99.33,0.5863,ok
SEN-018,2025-01-06 21:30:35,67.22,94.86,0.5244,ok
SEN-011,2025-01-05 08:29:02+00:00,71.52,100.25,0.583,ok
SEN-005,2025-01-12 04:00:08,69.33,103.79,0.569,ok
SEN-003,2025-01-13 08:59:00,67.56,98.74,0.5802,ok
SEN-007,01/04/2025 08:31:12,68.8,104.41,0.5978,ok
SEN-006,2025-01-03 06:29:46,,103.97,0.4662,ok
SEN-004,06-01-2025 13:14:39,67.15,98.13,0.5814,ok
SEN-017,2025-01-03 05:15:11,67.36,100.82,0.5501,ok
SEN-001,2025-01-05 05:44:59+00:00,64.96,103.07,0.4827,ok
